player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,finishing,link_play,box_presence,press_leadership,composite_score,has_primary_season,is_manual_add,nationality
1098096,Evanilson,8678,Bournemouth,ENG-Premier League,0.1,11.5,2.0,0.0,0.9,0.9,0.05,0.36,0.8,0.0,0.25,0.1,0.9,0.1,0.4,6.75,0.0,23.0,2.5,0.3,0.4,1826,24,Attacker,0.3333333333333333,0.25,0.008695652173913,0.5,0.36,0.144,61.1893544692015,29.766886524036508,66.15914717510994,37.17730388353102,47.16709914871248,True,False,Brazil
967622,Antony,8603,Real Betis,ESP-La Liga,0.7,36.2,7.0,0.0,0.8,3.6,0.2,0.28,0.6,5.0,0.34,1.0,1.4,0.1,0.6,7.67,0.0,41.0,3.0,1.3,1.0,1595,19,Attacker,0.793103448275862,0.4347826086956522,0.0193370165745856,1.6666666666666667,0.4666666666666666,0.0933333333333333,36.424246203303404,62.47540461146215,41.93557624801389,56.028756974466994,47.06220730220824,True,False,Brazil
704151,Arnaut Danjuma,10267,Valencia CF,ESP-La Liga,1.2,15.8,4.0,0.0,0.4,2.4,0.15,0.25,1.0,2.0,0.19,0.0,0.8,0.1,0.6,6.69,0.0,12.0,2.0,0.8,1.4,1429,22,Attacker,0.4444444444444445,0.0,0.0759493670886075,1.4,0.4,0.125,46.36593319292022,55.19389941987216,46.98074862358201,38.63496748327975,46.84988880051538,True,False,Netherlands
1368557,Gift Orban,9876,Verona,ITA-Serie A,0.5,11.1,1.0,0.0,0.5,0.8,0.05,0.51,1.0,1.0,0.4,0.2,1.3,0.0,0.3,6.66,0.0,14.0,3.6,0.2,0.8,1584,22,Attacker,0.2857142857142857,0.5,0.045045045045045,0.8,0.3611111111111111,0.1416666666666666,68.39717741935483,29.33467741935484,78.44758064516128,24.7983870967742,46.76127656536833,True,False,Nigeria
612150,Dominic Calvert-Lewin,8463,Leeds United,ENG-Premier League,0.2,8.8,2.0,0.0,0.8,0.9,0.05,0.5,1.5,1.0,0.54,0.1,1.1,0.1,0.6,6.84,0.0,13.0,2.5,0.5,0.3,1669,23,Attacker,0.2857142857142857,0.1666666666666666,0.0227272727272727,0.1999999999999999,0.44,0.2,84.42540322580645,17.338709677419356,75.06048387096774,35.8266129032258,46.49327370012827,True,False,England
1130991,Isaac Romero,8302,Sevilla,ESP-La Liga,0.9,14.0,2.0,0.0,1.0,0.4,0.04,0.4,1.7,0.0,0.27,0.1,1.0,0.0,0.7,6.39,0.0,7.0,2.4,1.0,0.6,989,18,Attacker,0.3928571428571429,0.0909090909090909,0.0642857142857143,0.3529411764705882,0.4166666666666667,0.1666666666666666,57.93292502678935,26.87236725418468,60.6657151830913,47.22069800096072,46.42655186077732,True,False,Spain
848289,Takefusa Kubo,8560,Real Sociedad,ESP-La Liga,0.4,22.7,5.0,0.0,0.7,2.3,0.18,0.17,0.5,3.0,0.15,0.5,0.9,0.0,0.5,7.16,0.0,26.0,1.9,1.9,2.1,1183,18,Attacker,0.8275862068965517,0.2083333333333333,0.0176211453744493,4.2,0.4736842105263158,0.0894736842105263,30.621258729630863,80.22103517717917,30.492970106787865,71.3086363300447,46.08476056372525,True,False,Japan
543306,Federico Bonazzoli,7801,Cremonese,ITA-Serie A,1.1,23.0,3.0,0.0,0.4,0.9,0.06,0.32,0.8,1.0,0.32,0.3,1.0,0.0,0.4,6.72,0.0,9.0,2.7,1.0,0.3,1411,22,Attacker,0.6190476190476191,0.2307692307692307,0.0478260869565217,0.3749999999999999,0.3703703703703703,0.1185185185185185,50.77620967741935,32.056451612903224,56.83467741935483,48.125,46.05793302475591,True,False,Italy
1073977,Benjamin Sesko,10260,Manchester United,ENG-Premier League,0.3,11.8,0.0,0.0,1.0,0.2,0.02,0.48,1.1,1.0,0.49,0.2,1.9,0.2,0.2,6.72,0.0,8.0,3.6,0.4,0.5,1101,21,Attacker,0.3529411764705882,0.3333333333333333,0.0254237288135593,0.4545454545454545,0.5277777777777778,0.1333333333333333,77.05975409230315,24.45370524332114,76.57761519417654,24.36590086095407,45.86869748165478,True,False,Slovenia
635772,Borja Mayoral,8305,Getafe,ESP-La Liga,0.9,17.8,1.0,0.0,0.4,0.2,0.02,0.25,0.5,1.0,0.34,0.4,0.6,0.2,1.0,6.58,0.0,4.0,1.2,0.4,0.5,1044,14,Attacker,0.6153846153846154,0.5,0.0505617977528089,1.0,0.5,0.2083333333333333,67.75262812696302,21.17743783024794,46.56038687506928,65.61657059453867,45.83033676542816,True,False,Spain
